timestamps,x_array,y_array,z_array
1,1.8132,6.4611,9.0189
2,2.1413,6.2076,8.6234
3,0.087819,3.8313,9.1864
4,-0.73155,3.2729,7.7455
5,-1.2614,3.3585,7.1915
6,2.1333,-2.1106,8.371
7,-0.97873,-6.0485,-1.3349
8,-17.909,-12.4,1.6292
9,-32.697,-5.6459,8.2952
10,-15.319,1.0652,0.12838
11,-3.8412,-1.5772,0.056187
12,2.5209,-8.3099,-3.1347
13,-12.322,-4.048,-9.9472
14,-3.5527,-1.644,-1.357
15,-10.034,-7.5357,5.4219
16,-6.5999,-4.0913,3.5413
17,-5.7462,-3.7411,-1.5569
18,-3.5875,-8.4978,0.70183
19,-4.6511,-14.085,2.7726
20,-0.65622,-15.939,0.078769
21,1.6109,-9.8571,2.1295
22,0.69384,-3.1182,2.7717
23,-3.0117,-7.1452,-26.717
24,-6.3564,-15.556,1.2558
25,4.3624,-10.519,7.6972
26,-1.7633,-10.029,0.86554
27,-2.6173,-10.06,1.2507
28,-0.77606,-7.9026,-1.0112
29,-2.9275,-13.58,-0.39773
30,-1.3133,-18.574,3.6156
31,1.0786,-11.348,4.113
32,-2.1797,-3.5234,3.8808
33,2.9311,-1.3735,-0.78487
34,-4.0931,-8.0095,-9.6583
35,-1.1165,-2.0625,7.2745
36,-5.6985,-12.901,-4.2258
37,-2.4112,-8.3113,-0.15078
38,-2.9417,-9.5615,-2.0068
39,-8.3616,-10.235,-1.5611
40,-3.4164,-14.111,-4.2308
41,-2.8659,-16.53,-0.20619
42,-2.994,-5.9679,5.2135
43,4.5876,-1.1304,2.3353
44,-27.66,-26.33,-1.2611
45,-2.9378,-26.041,-0.61518
46,2.0693,-13.37,6.0639
47,-4.376,-7.0164,1.919
48,-3.8642,-7.2173,4.3522
49,-7.7953,-8.863,4.7704
50,-8.1021,-13.866,2.7022
51,-0.9822,-20.487,1.3497
52,-2.1105,-11.01,3.8361
53,-0.32496,-3.616,3.1428
54,1.4672,-3.0076,-1.3724
55,-2.8094,-3.8522,-2.8253
56,-1.4707,-2.7372,5.9681
57,-4.0442,-10.809,-3.6045
58,-3.5538,-7.2439,0.39913
59,-3.458,-8.7553,-3.8494
60,-7.6867,-7.7375,-0.55569
61,-5.8637,-13.773,1.483
62,-1.3663,-14.556,0.017602
63,-2.4886,-5.1956,3.3742
64,3.4213,-0.46911,1.667
65,-21.881,-19.808,-7.0161
66,2.9959,-12.174,5.8856
67,-1.5707,-15.006,2.655
68,-3.8034,-6.8623,2.1308
69,-2.9573,-7.5879,2.6274
70,-7.5344,-6.8083,2.7179
71,-8.3547,-14.67,3.1973
72,-0.42511,-19.235,2.0533
73,-2.1535,-9.3891,3.5971
74,-0.3776,-3.8574,3.1046
75,1.5463,-2.8632,-0.95155
76,-0.87288,-6.3174,-6.8651
77,-1.5832,-1.7051,6.8499
78,-3.8075,-10.225,-3.127
79,-3.2412,-6.7234,-1.6291
80,-2.3156,-9.5416,-1.6902
81,-10.411,-7.1417,-3.0433
82,-7.8252,-12.81,-2.5447
83,-0.010592,-20.817,-1.69
84,-1.4275,-8.0268,2.2413
85,0.17772,-1.7309,2.5169
86,-3.4805,-7.5039,-13.802
87,-3.2324,-11.149,0.83605
88,1.9177,-8.9885,9.7502
89,-4.9046,-8.881,1.5719
90,-4.9512,-8.6703,3.3113
91,-3.5216,-7.4139,1.6282
92,-3.9511,-12.325,-1.4563
93,-6.1505,-14.755,1.658
94,-0.19186,-13.278,2.765
95,-1.1758,-4.7045,3.8772
96,3.3405,-1.4988,0.71386
97,-10.916,-9.6379,-7.342
98,-6.8517,-12.743,0.89687
99,0.45562,-12.466,0.92515
100,-4.2912,-6.9835,3.2402
101,-2.3298,-8.6625,0.15924
102,-10.915,-8.9329,2.2196
103,-9.3471,-12.136,-1.1344
104,1.6244,-19.427,0.5913
105,-2.4635,-8.3574,2.4782
106,0.44663,-2.5576,3.1312
107,-0.89489,-5.3293,-10.582
108,-2.1108,-12.321,1.256
109,2.7767,-8.0512,10.296
110,-5.4633,-8.3564,2.3033
111,-4.2009,-8.8404,3.177
112,-3.9803,-6.6184,0.32646
113,-4.2298,-13.784,-1.7826
114,-5.548,-15.393,5.0848
115,-0.41915,-11.924,3.0223
116,-1.6282,-4.6925,2.6654
117,3.4224,-1.5549,0.045183
118,-10.439,-10.292,-7.8434
119,2.727,-6.5213,-1.4766
120,-6.4692,-13.657,-3.8549
121,-1.7797,-7.7389,1.1915
122,-2.9435,-8.3808,-0.2461
123,-8.9324,-9.2705,0.61094
124,-9.3668,-12.663,-3.5351
125,-0.31599,-18.1,1.0366
126,-1.2483,-8.1571,2.7073
127,0.16363,-2.4444,2.8462
128,-5.7335,-9.933,-18.127
129,-1.0949,-10.467,0.8713
130,1.658,-7.075,8.8314
131,-5.3125,-9.4862,0.2915
132,-4.0099,-8.3706,2.8764
133,-4.2299,-7.7183,-0.09143
134,-4.6502,-11.472,-0.97736
135,-4.6444,-15.089,1.1156
136,-1.3016,-11.827,2.6721
137,-2.4792,-5.5184,3.4598
138,3.2002,-2.6537,1.0776
139,-27.138,-21.311,-5.8912
140,2.5502,-13.931,5.4863
141,-1.032,-14.176,4.3123
142,-4.1097,-6.4726,0.78038
143,-0.50045,-8.4461,-0.069164
144,-8.6306,-9.0241,2.7883
145,-9.1517,-13.794,-0.74657
146,-1.0901,-17.201,2.1061
147,-0.36512,-9.2844,4.0607
148,-0.1565,-3.5252,3.3728
149,1.8759,-4.4311,-5.6329
150,-1.5981,-10.047,-2.5199
151,2.3213,-5.46,8.7206
152,-4.3508,-9.1416,1.684
153,-4.2695,-8.1389,0.23199
154,-4.8568,-9.0622,-0.19774
155,-3.8136,-12.461,-1.0469
156,-2.4279,-12.837,-5.8939
157,-1.967,-14.368,-0.10448
158,-2.9047,-6.151,2.6534
159,1.856,-2.0991,1.3621
160,-25.26,-21.435,-3.0885
161,-2.2131,-20.013,1.3387
162,0.57879,-11.723,4.705
163,-6.4608,-8.4074,1.7853
164,-3.2714,-7.6348,2.7808
165,-4.467,-6.3115,1.5802
166,-7.8586,-13.793,0.64284
167,-4.4392,-16.09,5.9199
168,-0.69758,-10.705,4.6012
169,-1.3015,-4.2781,2.8088
170,3.2358,-2.7487,-0.46774
171,-8.6669,-5.0953,-7.2381
172,0.1099,-9.1759,-2.3249
173,-1.8673,-10.779,-1.9536
174,-3.8053,-7.7719,0.63835
175,-2.5637,-9.9049,-1.624
176,-8.3081,-10.814,0.23289
177,-6.3896,-11.934,-6.0015
178,-0.95684,-17.922,-0.60182
179,-1.9729,-7.3853,3.8284
180,1.3323,-1.2837,2.0672
181,-22.504,-19.566,-12.805
182,-1.0935,-19.879,1.1443
183,1.8292,-12.781,5.6127
184,-5.9315,-6.8362,2.9716
185,-3.4582,-7.5469,3.3443
186,-7.8414,-7.6292,3.0291
187,-6.4815,-14.694,0.2186
188,-4.0966,-17.306,4.7725
189,-0.88556,-9.605,3.704
190,-1.7155,-4.0342,3.3904
191,3.2743,-2.565,-1.2798
192,-6.8056,-5.1222,-3.8746
193,4.1734,-2.5708,4.7022
194,-6.156,-10.802,-1.471
195,-2.8891,-8.0905,-0.44898
196,-1.8036,-8.8303,-1.0597
197,-8.9153,-9.2533,-2.073
198,-9.149,-12.588,-2.4593
199,0.095682,-18.878,0.18191
200,-1.359,-8.3887,2.1923
201,-0.7718,-2.8867,2.892
202,-1.2688,-4.889,-8.3775
203,-1.2824,-13.364,-2.8511
204,-0.46173,-6.8018,9.2686
205,-4.4198,-8.1919,0.95726
206,-4.0186,-8.6025,0.55092
207,-3.4215,-10.556,-1.6521
208,-6.6856,-10.8,-1.115
209,-2.9658,-12.989,-3.2741
210,-1.6391,-15.844,0.15917
211,-2.419,-8.6735,2.2139
212,-3.3069,-7.2341,3.5238
213,-2.8146,-5.7778,3.3412
214,-1.1479,-5.0415,3.3311
215,-0.060707,-4.0433,3.4373
216,0.83438,-2.704,2.6113
