timestamps,x_array,y_array,z_array
1,0.073636,3.0179,8.447
2,-3.6436,2.4491,15.714
3,-2.5399,2.0019,15.012
4,-2.1749,2.1193,8.1446
5,-0.49972,1.8778,5.9735
6,0.20222,2.2561,4.2343
7,0.033691,2.7488,6.2695
8,-0.13027,2.5674,10.44
9,-3.2935,1.8149,18.064
10,-0.8928,2.5364,12.82
11,-1.8152,2.0791,10.068
12,-1.3865,1.2177,8.4729
13,-0.24891,1.065,5.6188
14,0.38891,1.8754,4.6528
15,-4.8517,2.5476,11.008
16,-6.0145,2.5862,18.802
17,-4.4069,2.5925,11.127
18,-2.9087,2.4716,9.4263
19,-0.11518,2.0277,5.9505
20,0.69746,3.2815,3.4854
21,0.69734,3.586,3.6564
22,0.60842,2.5232,11.74
23,-3.0274,4.4793,17.234
24,-0.66143,3.2085,8.4466
25,-1.4486,2.1026,6.1543
26,-1.154,1.3791,4.3521
27,-1.8355,1.9945,6.0436
28,-3.3738,2.9989,13.279
29,-2.4005,1.8181,17.843
30,-1.2581,2.0157,8.3132
31,-0.4454,2.5958,6.3315
32,0.30483,3.0908,5.5501
33,1.1754,3.628,7.2359
34,-0.78494,2.2523,10.876
35,0.17932,0.87768,15.184
36,-0.56876,1.3829,9.0185
37,-0.42797,1.5048,7.4634
38,-0.60077,1.3927,7.0622
39,-0.31428,1.9492,5.4341
40,-2.0913,2.314,10.611
41,-1.0528,2.2619,16.527
42,-0.10167,0.44586,11.829
43,-2.8987,1.5187,7.6509
44,-1.3095,1.7854,9.6044
45,0.61115,2.6739,6.6238
46,1.6898,3.2818,4.8242
47,0.63143,3.2566,10.273
48,-2.7753,4.2837,13.923
49,-2.6059,2.3049,10.993
50,-2.8875,1.0758,10.618
51,-2.7076,2.3251,10.697
52,-1.3785,2.6699,8.3301
53,0.24403,2.2584,8.2971
54,0.72961,2.0402,4.2818
55,1.0954,2.362,3.8013
56,-1.5381,2.5421,7.6341
57,-3.3151,-0.50334,13.66
58,-1.114,0.082897,14.959
59,-0.094035,1.0736,12.631
60,-1.4625,2.0671,8.7824
61,2.5154,1.5153,8.4832
62,2.24,1.2604,5.3247
63,0.65225,1.4852,2.9317
64,-1.8497,2.3352,9.8228
65,-3.46,3.8683,16.254
66,-1.6689,3.8574,11.105
67,-1.3951,2.7865,9.4776
68,-0.41301,2.1801,7.8052
69,-0.14265,2.6109,6.3432
70,-0.55188,2.5962,3.5652
71,-2.4994,2.217,9.1162
72,-2.0391,2.376,20.234
73,-0.94873,1.4518,10.095
74,-1.2602,2.2576,8.2229
75,0.14983,2.5123,8.1342
76,0.17943,2.9752,5.2565
77,0.26409,3.0697,5.4122
78,-1.0436,3.4923,11.707
79,-3.5568,3.5882,14.207
80,-1.7178,3.1591,9.48
81,-1.7024,2.2763,7.1423
82,-0.50569,1.9641,4.4604
83,-0.91713,3.8367,6.5796
84,-4.7597,4.3803,10.316
85,-5.912,3.6654,14.786
86,-3.4771,1.8771,10.532
87,-3.2649,2.2313,6.6871
88,-1.4411,3.0257,5.9281
89,-1.0588,3.3166,5.326
90,-0.90199,3.9166,6.5839
91,-2.2464,4.0662,12.518
92,0.083893,3.4405,14.932
93,-0.61291,2.4763,8.1741
94,-0.42038,1.8307,9.5517
95,-1.045,1.8805,6.7146
96,-0.71001,2.147,5.3054
97,-3.3549,2.6256,9.2373
98,-3.9437,3.3861,14.816
99,-1.0969,1.5642,12.86
100,-2.195,1.6784,7.4939
101,-1.2319,2.2471,6.8052
102,0.067449,3.0788,6.8931
103,0.53601,3.6088,5.6877
104,0.23028,3.9571,12.367
105,-0.64899,4.2363,13.974
106,-0.86561,3.5377,8.1188
107,-0.98123,2.7256,7.4745
108,-0.27195,2.3508,6.5452
109,-1.129,3.2241,4.4022
110,-2.8979,3.2328,9.3072
111,-2.6554,4.4504,11.87
112,0.01516,3.2036,13.331
113,-2.7402,3.2871,9.3851
114,-0.63327,3.1927,7.3793
115,0.11996,3.5817,4.7326
116,0.60109,3.6088,4.0869
117,0.5847,4.1205,9.5519
118,-5.0648,4.7057,13.677
119,-2.4331,4.6068,11.962
120,-1.3922,3.1658,9.1411
121,-0.90449,2.4002,5.7351
122,0.01607,2.3789,3.6312
123,-0.34516,3.7357,7.853
124,-3.0152,4.7015,11.406
125,-3.9992,2.5289,15.53
126,-3.0808,2.2714,9.0527
127,-1.3681,2.4054,6.5695
128,0.11239,3.2753,6.9692
129,0.9056,3.9981,4.8097
130,-0.67278,3.714,8.1093
131,-3.1274,2.0846,14.186
132,-2.5144,2.5253,13
133,-1.7006,2.6445,9.375
134,-1.4951,2.1118,6.9699
135,-0.94691,3.0092,5.327
136,-1.5959,3.628,5.4577
137,-1.7236,2.2398,9.9329
138,-3.4951,1.7541,17.559
139,-3.7435,2.0668,11.678
140,-2.7972,2.1392,7.4484
141,-0.95864,2.3826,6.3682
142,-0.83401,2.6224,7.0519
143,-0.40338,2.8993,5.3193
144,-0.040682,3.7406,9.0199
145,-0.022965,4.5881,16.309
146,-0.4082,2.8039,12.477
147,-0.41174,2.2347,7.6638
148,-0.35899,2.436,6.4003
149,-0.45512,2.5445,4.5365
150,-1.4449,2.0823,6.0599
151,-4.0301,2.3321,10.71
152,-5.2461,2.7836,18.269
153,-4.8601,2.2881,8.9355
154,-2.3737,1.8501,7.1421
155,-0.81514,2.5051,6.4982
156,0.46656,2.2756,3.0553
157,-1.4404,2.9067,7.6344
158,-3.4129,2.7136,16.779
159,-2.9223,3.5141,13.735
160,-1.6195,2.6414,8.9192
161,-1.5301,2.0918,6.7593
162,-1.4266,1.7711,5.3807
163,-1.3677,2.4293,4.6216
164,-2.8181,1.8831,13.888
165,-2.599,3.811,15.968
166,-1.5666,3.8637,9.5439
167,-2.2523,3.0432,8.2405
168,0.28764,2.6031,5.6005
169,0.79119,3.0451,4.9818
170,-0.24154,3.3379,6.323
171,0.24201,3.3634,10.789
172,-1.635,3.4341,14.114
173,-0.48315,3.7927,11.062
174,-0.46933,3.1432,9.6519
175,-0.67832,2.6083,6.5785
176,-0.21286,2.2493,4.0026
177,-1.1296,2.7245,4.5792
178,-2.855,1.0162,17.302
179,-3.9473,2.5272,15.119
180,-2.2111,2.2084,9.1289
181,-1.3156,2.032,8.5734
182,-0.32029,2.054,5.9751
183,-0.40955,2.3144,3.8307
184,-1.893,2.2382,11.872
185,-3.6236,1.6572,17.369
186,-1.6725,1.8302,10.42
187,-1.2154,1.4129,9.837
188,-1.4767,1.399,9.51
189,-0.99923,2.4087,7.6341
190,-1.0551,2.566,6.8577
191,-1.9865,2.9807,8.0292
192,-1.118,2.4474,9.4734
193,-0.70833,1.5916,11.852
194,0.41611,1.0116,10.393
