timestamps,x_array,y_array,z_array
1,-1.8722,0.25548,15.036
2,-2.5452,-1.5532,15.488
3,-2.4601,-0.79371,6.1488
4,-1.4796,0.34134,5.2985
5,0.03418,1.0734,5.8137
6,-0.16094,1.9901,6.2734
7,-2.1358,1.5643,16.354
8,0.20987,-1.5482,13.157
9,-0.50277,-0.3744,6.4371
10,-0.45569,-0.51626,7.9503
11,-0.67294,1.0169,6.3039
12,-0.38664,2.2474,8.5282
13,-1.4265,1.0538,13.149
14,-0.22032,-1.6141,13.816
15,-2.3956,0.39028,7.5547
16,-0.26121,0.81425,6.5619
17,0.45557,1.3679,7.2197
18,1.0992,2.1781,8.8481
19,-0.74872,2.0131,12.211
20,0.62522,-1.1666,12.246
21,0.41101,-0.79449,6.9483
22,-0.025733,-0.56613,7.3683
23,-0.96201,0.64113,8.5353
24,-0.14509,2.0577,7.2003
25,-0.31542,1.4226,13.425
26,-1.9227,-3.0235,17.083
27,-2.6239,-0.98338,8.8646
28,-0.64084,-0.006005,6.9068
29,-0.21798,1.2059,7.4802
30,0.175,1.4546,9.214
31,0.71377,2.0917,8.0683
32,1.0415,0.82646,13.294
33,1.9118,0.25083,13.551
34,0.97356,0.31912,8.6315
35,-0.079966,0.16851,8.1256
36,-0.90932,1.1825,6.8381
37,-0.57248,2.506,8.681
38,-0.35495,2.714,11.782
39,-2.2634,0.27956,14.385
40,-2.7626,0.77441,8.914
41,-1.094,1.0254,6.381
42,-1.1394,2.4202,5.9175
43,-0.76611,3.2369,6.5852
44,-0.91706,3.1586,11.198
45,-3.1402,0.6812,14.911
46,0.1288,0.50113,10.414
47,0.3925,0.67162,5.7757
48,-0.61178,0.32269,7.9585
49,-0.70223,1.7066,8.2882
50,-1.8762,2.4703,9.7166
51,-1.0446,0.72299,14.861
52,0.008255,-0.9603,13.001
53,-0.91435,0.47458,6.4727
54,-0.10893,1.4224,6.683
55,-0.89556,2.5993,7.3626
56,-0.462,3.1887,9.9394
57,-0.46037,3.7362,10.931
58,1.2346,0.9637,11.708
59,-0.41419,0.85505,8.7332
60,-0.48792,0.74831,7.1964
61,-0.62606,1.3841,6.7732
62,-0.41777,2.6448,7.7502
63,-2.5087,2.1745,13.021
64,-1.5752,-0.352,15.504
65,-3.2476,1.4739,7.5743
66,-1.3356,2.1232,6.7739
67,-0.76297,2.6892,6.5087
68,0.14302,2.5347,9.1344
69,-0.6753,2.4593,11.749
70,-0.59776,1.0991,13.091
71,-0.24583,0.68052,9.2104
72,-0.28475,0.72137,7.6091
73,-1.2763,1.2519,7.7002
74,-1.0923,1.9605,8.2622
75,-2.201,2.0651,9.9659
76,-1.0154,-0.14652,15.131
77,-2.7492,0.81427,9.5905
78,-1.4486,1.1553,7.3441
79,-1.0273,1.6276,7.4042
80,-0.84546,2.1045,7.6177
81,-0.38571,2.0543,9.9211
82,-1.7769,0.57465,15.46
83,-1.6831,-0.21637,10.925
84,-1.0973,-0.14099,6.0166
85,-1.6411,0.32675,7.686
86,-2.0044,1.0613,9.28
87,-1.5927,1.7148,8.9551
88,-1.5514,1.585,10.281
89,-3.5754,-1.5889,13.435
90,-2.3178,-0.47207,11.398
91,-1.6301,-0.47861,7.7031
