timestamps,x_array,y_array,z_array
1,-7.005,6.0561,2.5352
2,-6.8011,6.274,3.0722
3,-6.8897,6.2014,2.6895
4,-6.9604,6.2371,3.1111
5,-6.5718,4.4702,2.7891
6,-7.2389,2.799,2.3273
7,-9.0687,6.1926,2.8072
8,-12.235,6.3069,-3.3128
9,0.29674,15.311,-0.71831
10,-0.49915,8.2891,1.9926
11,-2.7235,6.8757,1.5221
12,-4.3967,8.252,-4.0269
13,-4.9075,9.9995,-2.0978
14,-4.5957,12.673,-3.4798
15,-2.6275,10.663,-1.2542
16,-3.6841,11.103,-0.83615
17,-3.5533,6.2976,-0.065821
18,-1.557,3.674,0.89892
19,-13.379,11.475,8.8908
20,-5.6099,18.34,-2.7223
21,-3.2984,7.4781,-0.39736
22,-5.2865,9.8737,-0.78825
23,-2.5131,8.6459,-3.0541
24,-4.3268,6.7724,-1.789
25,-5.3803,9.6946,-4.7152
26,-8.5379,10.393,-5.0871
27,-2.212,12.722,-1.7882
28,-4.3717,9.0164,-0.016501
29,-4.8742,5.7334,-0.46407
30,0.15997,4.0435,-0.51496
31,-11.016,4.5176,5.0483
32,-4.0782,4.6871,-0.42745
33,-1.5166,11.13,-4.5154
34,-2.6509,9.2375,0.21973
35,-3.193,7.8491,-1.6144
36,-3.5999,8.1553,-0.84674
37,-6.4249,9.4005,-2.5104
38,-5.4147,10.571,-3.8448
39,-2.0048,10.325,-1.2406
40,-4.3987,10.202,-0.65689
41,-5.4399,6.9614,-1.038
42,-3.1942,5.7429,-1.7317
43,-6.4193,7.0533,3.3462
44,-5.2004,3.148,-1.9819
45,0.39181,3.6317,-0.79509
46,-7.1741,11.399,1.0869
47,-3.0559,8.5525,-3.2397
48,-4.0267,7.3957,-2.5625
49,-2.592,9.8312,-0.1775
50,-8.3487,11.73,-0.80721
51,-1.2096,10.79,2.2956
52,-2.1548,11.051,-4.4127
53,-6.0562,6.8229,-2.5768
54,-1.7072,4.8376,0.18854
55,-3.4394,5.3554,2.2939
56,-4.356,12.257,6.1801
57,0.1766,-0.3342,-1.5042
58,-3.9694,9.6103,-1.5658
59,-2.2168,8.6402,-0.70451
60,-5.1137,7.094,-1.4668
61,-4.4717,8.2735,-0.13196
62,-8.7287,13.103,-2.6887
63,0.68647,12.727,1.3159
64,-2.4021,8.853,-2.8833
65,-4.8986,6.4343,-0.78074
66,-3.3156,4.7813,0.32446
67,-3.93,6.676,5.4772
68,-5.1226,6.9471,3.0548
69,-14.445,8.6904,-4.0893
70,-1.5199,11.067,-7.9504
71,-3.085,9.0149,-1.1764
72,-4.6054,9.4423,0.64442
73,-5.0363,8.4095,-3.1185
74,-3.0928,9.2727,-0.36123
75,-3.1914,9.5654,-2.8218
76,-4.3423,8.5895,-2.1612
77,-3.8624,8.4911,-3.4878
78,-3.7222,8.9469,-2.3095
79,-3.1113,9.636,-0.12061
80,-5.4051,7.5767,-3.3662
81,-4.7456,8.6437,-1.776
82,-4.2264,9.3947,-3.0939
83,-5.208,10.174,-2.8356
84,-4.7469,10.671,-2.4925
85,-4.979,9.7418,0.30637
86,-4.0307,5.7598,3.2393
87,-3.8741,5.6928,4.2078
88,-3.3971,8.3359,4.4687
89,-5.011,7.6711,4.5921
90,-3.6897,7.609,3.5526
91,-3.5708,7.2303,3.9553
92,-3.1173,8.4323,5.3703
93,-3.569,7.0578,4.4292
94,-3.4876,7.6686,5.2931
