timestamps,x_array,y_array,z_array
1,0.3869,3.0564,6.5132
2,-0.31486,2.9301,7.0229
3,-0.95253,2.8168,8.4612
4,-1.2855,2.5863,10.199
5,-1.2716,2.4778,11.561
6,-1.0548,2.6144,12.632
7,-1.1857,2.5095,13.271
8,-1.2362,2.8259,13.512
9,-2.3328,2.5735,13.825
10,-3.1073,2.3153,14.354
11,-3.2667,1.9583,15.462
12,-2.6805,1.6082,16.65
13,-2.1337,1.4269,17.26
14,-2.0416,1.1463,17.191
15,-2.4284,0.70552,16.326
16,-2.3649,0.401,14.825
17,-1.9538,0.29873,13.053
18,-1.701,0.38543,11.554
19,-1.9236,0.5394,10.369
20,-2.7386,1.117,8.0199
21,-0.96592,1.3608,6.6226
22,0.11371,1.4051,5.7418
23,0.34298,1.8842,4.0824
24,0.52419,1.7488,7.3582
25,-2.2857,1.2748,17.113
26,-0.6894,1.5588,15.065
27,-0.54186,0.99937,8.1113
28,-0.001523,0.50557,4.7459
29,0.10501,1.2705,3.8871
30,-0.74411,2.9048,6.3721
31,-2.1663,0.41386,14.663
32,-1.624,-2.1234,21.927
33,-0.4516,0.52545,7.1689
34,0.79262,1.2261,3.8215
35,0.54577,1.7417,3.9034
36,0.13512,2.6245,6.5741
37,-2.3878,2.5693,18.419
38,-0.64159,1.0201,16.214
39,0.34011,0.96644,6.5893
40,-0.14349,0.51328,6.6288
41,-0.20246,1.5919,4.0079
42,-1.1099,2.2878,6.3827
43,-2.1462,0.91211,15.605
44,-1.2775,-1.0995,22.363
45,-2.2834,0.74963,6.8727
46,0.6901,0.67489,3.9766
47,0.93744,1.2554,4.7436
48,0.94082,1.9336,6.3455
49,-1.1061,2.6305,12.078
50,-3.3192,-0.13523,20.193
51,-2.1075,0.048813,9.0667
52,-0.28522,0.12576,6.0636
53,-0.33076,0.87866,3.8103
54,-0.63637,2.0665,4.3869
55,-1.3185,1.4461,16.037
56,-0.8474,-0.79944,22.646
57,-2.8924,-0.34986,8.2491
58,-0.86945,0.27411,6.2807
59,-0.14175,1.4622,5.9452
60,-0.10244,2.5374,4.4295
61,0.96475,2.4933,10.151
62,-1.7247,2.2271,17.6
63,-1.3236,1.8629,13.871
